timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
1717675236874.0,408.0,225.0,46.0,144.0,147.0,45.0
1717675237070.0,257.0,262.0,63.0,150.0,233.0,64.0
1717675237155.0,278.0,276.0,51.0,153.0,166.0,46.0
1717675237157.0,423.0,268.0,50.0,150.0,161.0,45.0
1717675237210.0,351.0,230.0,43.0,129.0,142.0,39.0
1717675237326.0,376.0,195.0,31.0,139.0,208.0,69.0
1717675237339.0,452.0,176.0,53.0,123.0,252.0,62.0
1717675237385.0,441.0,173.0,52.0,120.0,247.0,60.0
1717675237540.0,273.0,343.0,58.0,129.0,228.0,110.0
1717675237611.0,231.0,375.0,127.0,107.0,190.0,92.0
1717675237752.0,325.0,319.0,92.0,103.0,260.0,178.0
1717675237778.0,280.0,297.0,78.0,92.0,254.0,150.0
1717675238091.0,455.0,215.0,63.0,105.0,180.0,59.0
1717675238125.0,423.0,204.0,60.0,99.0,231.0,56.0
1717675238131.0,385.0,191.0,56.0,92.0,211.0,52.0
1717675238237.0,587.0,262.0,70.0,97.0,184.0,120.0
1717675238253.0,540.0,248.0,66.0,92.0,176.0,114.0
1717675238600.0,461.0,348.0,47.0,100.0,234.0,111.0
1717675238683.0,527.0,246.0,34.0,156.0,287.0,80.0
1717675238773.0,379.0,238.0,59.0,121.0,231.0,63.0
1717675238942.0,253.0,167.0,46.0,76.0,153.0,56.0
1717675239026.0,191.0,192.0,36.0,63.0,117.0,56.0
1717675239026.0,183.0,182.0,35.0,65.0,158.0,52.0
1717675239042.0,182.0,180.0,35.0,65.0,158.0,52.0
1717675239109.0,167.0,367.0,29.0,56.0,344.0,65.0
1717675239196.0,131.0,327.0,46.0,113.0,247.0,47.0
1717675239337.0,216.0,237.0,29.0,70.0,214.0,72.0
1717675239389.0,185.0,291.0,24.0,67.0,182.0,62.0
1717675239417.0,244.0,268.0,23.0,62.0,171.0,57.0
1717675239417.0,240.0,263.0,22.0,61.0,167.0,56.0
1717675239461.0,218.0,240.0,20.0,56.0,156.0,59.0
1717675239461.0,212.0,234.0,20.0,56.0,185.0,58.0
1717675239486.0,244.0,332.0,19.0,50.0,163.0,69.0
1717675239703.0,220.0,248.0,36.0,71.0,156.0,79.0
1717675239748.0,231.0,300.0,70.0,68.0,150.0,68.0
1717675239853.0,192.0,345.0,48.0,55.0,241.0,48.0
1717675239983.0,244.0,227.0,37.0,79.0,161.0,47.0
1717675240131.0,218.0,181.0,38.0,62.0,243.0,79.0
1717675240230.0,165.0,196.0,58.0,63.0,275.0,62.0
1717675240388.0,287.0,217.0,56.0,120.0,327.0,61.0
1717675240516.0,261.0,271.0,81.0,103.0,331.0,41.0
1717675241010.0,269.0,252.0,39.0,100.0,163.0,56.0
1717675241048.0,240.0,222.0,35.0,89.0,147.0,51.0
1717675241065.0,368.0,331.0,33.0,83.0,140.0,47.0
1717675241279.0,244.0,271.0,63.0,103.0,312.0,49.0
1717675241409.0,369.0,319.0,48.0,71.0,282.0,39.0
1717675241409.0,366.0,318.0,48.0,71.0,280.0,39.0
1717675241424.0,344.0,299.0,55.0,67.0,268.0,38.0
1717675241532.0,551.0,405.0,79.0,120.0,287.0,48.0
1717675241609.0,408.0,414.0,62.0,120.0,246.0,53.0
1717675241729.0,438.0,299.0,53.0,143.0,370.0,50.0
1717675241836.0,304.0,277.0,41.0,166.0,263.0,57.0
1717675241910.0,379.0,216.0,39.0,243.0,265.0,71.0
1717675241983.0,293.0,231.0,31.0,191.0,223.0,102.0
1717675242205.0,391.0,274.0,88.0,98.0,307.0,50.0
1717675242500.0,222.0,214.0,102.0,61.0,290.0,24.0
1717675242519.0,204.0,194.0,95.0,56.0,302.0,37.0
1717675242536.0,198.0,186.0,92.0,54.0,287.0,35.0
1717675242536.0,216.0,185.0,91.0,54.0,286.0,35.0
